assemble for abi change on largeMonolithicJavaProject;904881;largeMonolithicJavaProject
assemble for abi change on largeJavaMultiProject;420586;largeJavaMultiProject
generate dependency report for largeMonolithicJavaProject;130345;largeMonolithicJavaProject
generate dependency report for largeJavaMultiProject;224321;largeJavaMultiProject
test for non-abi change on largeJavaMultiProject;515299;largeJavaMultiProject
test for non-abi change on mediumJavaMultiProjectWithTestNG;265848;mediumJavaMultiProjectWithTestNG
test for non-abi change on largeMonolithicJavaProject;834821;largeMonolithicJavaProject
up-to-date assemble on largeMonolithicJavaProject (parallel false);261077;largeMonolithicJavaProject
up-to-date assemble on largeJavaMultiProject (parallel true);372465;largeJavaMultiProject
up-to-date assemble on largeJavaMultiProject (parallel false);543744;largeJavaMultiProject
up-to-date assemble on largeMonolithicJavaProject with local build cache enabled (parallel false);275274;largeMonolithicJavaProject
up-to-date assemble on largeJavaMultiProject with local build cache enabled (parallel true);375620;largeJavaMultiProject
up-to-date assemble on largeJavaMultiProject with local build cache enabled (parallel false);560902;largeJavaMultiProject
assemble for non-abi change on largeMonolithicJavaProject;898079;largeMonolithicJavaProject
assemble for non-abi change on largeJavaMultiProject;396827;largeJavaMultiProject
get IDE model on largeMonolithicJavaProject for Eclipse;131657;largeMonolithicJavaProject
get IDE model on largeJavaMultiProject for Eclipse;411801;largeJavaMultiProject
get IDE model on largeMonolithicJavaProject for IDEA;125085;largeMonolithicJavaProject
get IDE model on largeJavaMultiProject for IDEA;389125;largeJavaMultiProject
configure largeMonolithicJavaProject;124664;largeMonolithicJavaProject
configure largeJavaMultiProject;206490;largeJavaMultiProject
configure largeJavaMultiProjectKotlinDsl;351530;largeJavaMultiProjectKotlinDsl
tasks on largeMonolithicJavaProject;129437;largeMonolithicJavaProject
tasks on largeJavaMultiProject;237187;largeJavaMultiProject
tasks --all on largeMonolithicJavaProject;126866;largeMonolithicJavaProject
tasks --all on largeJavaMultiProject;269875;largeJavaMultiProject
clean assemble on largeMonolithicJavaProject;447957;largeMonolithicJavaProject
clean assemble on largeJavaMultiProject;450053;largeJavaMultiProject
clean assemble on mediumJavaCompositeBuild;223141;mediumJavaCompositeBuild
clean assemble on mediumJavaPredefinedCompositeBuild;222205;mediumJavaPredefinedCompositeBuild
up-to-date assemble on bigCppApp;100148;bigCppApp
up-to-date assemble on bigCppMulti;237246;bigCppMulti
assemble with source file change on bigCppApp;136032;bigCppApp
assemble with header file change on bigCppApp;220758;bigCppApp
assemble with source file change on bigCppMulti;240496;bigCppMulti
assemble with header file change on bigCppMulti;241467;bigCppMulti
up-to-date assemble on mediumSwiftMulti;161730;mediumSwiftMulti
up-to-date assemble on bigSwiftApp;107900;bigSwiftApp
incremental compile on mediumSwiftMulti;500242;mediumSwiftMulti
incremental compile on bigSwiftApp;175176;bigSwiftApp
build on nativeMonolithic with 0 parallel workers;854218;nativeMonolithic
build on nativeMonolithic with 12 parallel workers;681454;nativeMonolithic
build on nativeMonolithicOverlapping with 0 parallel workers;854371;nativeMonolithicOverlapping
build on nativeMonolithicOverlapping with 12 parallel workers;682659;nativeMonolithicOverlapping
build with source file change on mediumNativeMonolithic;249757;mediumNativeMonolithic
build with header file change on mediumNativeMonolithic;247557;mediumNativeMonolithic
build with build file change on smallNativeMonolithic;560800;smallNativeMonolithic
libA0:buildDependentsLibA0 on nativeDependents;503289;nativeDependents
libA0:dependentComponents on nativeDependents;488541;nativeDependents
help on the gradle build comparing the build;429333;gradleBuildCurrent;gradleBuildBaseline
eager vs lazy on the gradle build;447120;gradleBuildCurrent
help on the gradle build comparing gradle;454651;gradleBuildCurrent
get IDE model on k9AndroidBuild for Android Studio;174523;k9AndroidBuild
